CPDB Officer ID,Self Evaluation,K Means Evalutions,D-Tree Regression Prediction,D Tree Result
1830,1,1,1.000119491,1
1831,1,1,0.99878327,1
1838,1,1,1.00191042,1
1839,0,0,0.0026269,0
1849,1,0,-0.002848021,0
1852,1,1,0.99850474,1
1853,1,1,1.001467856,1
1860,1,1,0.998363008,1
1896,1,1,0.998784701,1
1913,1,1,0.998689134,1
1914,1,1,0.998672178,1
1918,1,1,0.998055086,1
1933,1,1,1.00095814,1
1936,1,0,-0.002331884,0
1938,1,1,1.007887098,1
1940,1,1,0.999960687,1
1945,1,1,0.998976835,1
1962,1,1,0.998935481,1
1963,1,1,0.999581316,1
1966,1,1,1.001305466,1
1970,1,1,0.99687539,1
1974,1,1,0.998646983,1
1975,1,1,0.998364691,1
1984,1,1,1.022876078,1
1992,0,0,-0.003541389,0
2001,1,1,0.998940178,1
2011,1,1,1.001182237,1
2022,1,1,0.998344459,1
2024,1,1,0.998089582,1
2028,1,1,0.998623984,1
2031,0,0,0.00322419,0
2045,1,1,0.997760374,1
2049,1,1,0.996644039,1
2051,1,1,1.00110417,1
2061,1,1,0.998363008,1
2062,1,1,0.99932687,1
2100,1,1,0.998846818,1
2101,0,0,0.004057733,0
2103,1,1,1.001518602,1
2112,1,1,0.998963781,1
2125,1,1,0.999136218,1
2142,1,1,0.999061998,1
2144,1,1,0.997399161,1
2145,0,0,-0.004539342,0
2157,1,1,0.998363008,1
2165,1,1,0.999896756,1
2168,0,0,-0.000687784,0
2170,1,1,0.999073203,1
2173,1,1,1.001479103,1
2183,1,1,1.031477438,1
2200,1,1,1.027586073,1
2211,1,1,0.996450816,1
2216,1,1,0.999139236,1
2219,1,1,0.998363008,1
2232,1,1,0.999578162,1
2234,1,1,0.998533487,1
2244,1,1,0.998646783,1
2248,1,1,0.998536025,1
2270,1,1,1.001693549,1
2283,1,1,0.999139236,1
2290,1,1,1.001313286,1
2301,1,1,1.000119491,1
2326,1,1,0.998222959,1
2333,1,1,1.000968618,1
2334,1,1,1.000457388,1
2336,1,1,0.998455508,1
2346,1,0,0.007827378,0
2348,1,1,0.997877189,1
2358,1,1,0.99878327,1
2363,1,1,0.99328675,1
2365,0,0,0.002924947,0
2366,1,1,0.998935481,1
2411,1,1,1.000402228,1
2413,1,1,0.999646084,1
2418,1,1,0.995310116,1
2421,1,1,1.001479103,1
2423,1,1,0.998285834,1
