"officer_id","row_number","incident_date","incident_date-2","allegation_interval","goodorbad"
3563,"26839","2015-02-21 18:00:00-06","2015-07-26 19:00:00-05","155 days","good"
3563,"26840","2015-07-26 19:00:00-05","2015-10-23 19:00:00-05","89 days","good"
3565,"26871","2015-10-05 19:00:00-05","2015-10-20 19:00:00-05","15 days","good"
3565,"26872","2015-10-20 19:00:00-05","2016-02-13 18:00:00-06","116 days","good"
3605,"27104","2015-06-21 19:00:00-05","2015-11-12 18:00:00-06","144 days","bad"
3616,"27191","2015-05-02 19:00:00-05","2015-06-08 19:00:00-05","37 days","bad"
3616,"27192","2015-06-08 19:00:00-05","2015-09-20 19:00:00-05","104 days","bad"
3616,"27193","2015-09-20 19:00:00-05","2016-03-26 19:00:00-05","188 days","bad"
3765,"28546","2015-02-28 18:00:00-06","2015-04-18 19:00:00-05","49 days","good"
3765,"28547","2015-04-18 19:00:00-05","2015-07-09 19:00:00-05","82 days","good"
3769,"28584","2015-01-31 18:00:00-06","2015-07-10 19:00:00-05","160 days","good"
3769,"28585","2015-07-10 19:00:00-05","2016-04-09 19:00:00-05","274 days","good"
3787,"28742","2015-04-22 19:00:00-05","2015-04-22 19:00:00-05","00:00:00","good"
3793,"28833","2015-01-25 18:00:00-06","2016-03-22 19:00:00-05","422 days","good"
3814,"29010","2015-09-08 19:00:00-05","2015-09-14 19:00:00-05","6 days","good"
3821,"29101","2015-11-25 18:00:00-06","2016-03-28 19:00:00-05","124 days","good"
3876,"29433","2015-03-20 19:00:00-05","2015-06-07 19:00:00-05","79 days","good"
3897,"29618","2015-01-11 18:00:00-06","2015-03-23 19:00:00-05","71 days","bad"
3897,"29619","2015-03-23 19:00:00-05","2015-05-21 19:00:00-05","59 days","bad"
3897,"29620","2015-05-21 19:00:00-05","2015-09-27 19:00:00-05","129 days","bad"
3906,"29673","2015-02-28 18:00:00-06","2015-03-13 19:00:00-05","13 days","bad"
3906,"29674","2015-03-13 19:00:00-05","2015-11-14 18:00:00-06","246 days","bad"
3925,"29801","2015-05-12 19:00:00-05","2015-08-05 19:00:00-05","85 days","good"
3928,"29852","2015-01-16 18:00:00-06","2016-01-27 18:00:00-06","376 days","good"
3940,"29908","2015-09-16 19:00:00-05","2016-03-26 19:00:00-05","192 days","good"
3955,"30117","2015-07-16 19:00:00-05","2015-12-06 18:00:00-06","143 days","good"
3986,"30422","2015-07-22 19:00:00-05","2015-07-24 19:00:00-05","2 days","bad"
3986,"30423","2015-07-24 19:00:00-05","2015-12-25 18:00:00-06","154 days","bad"
3986,"30424","2015-12-25 18:00:00-06","2016-03-25 19:00:00-05","91 days","bad"
